Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Red Coffee Snake,Ninia sebae,March,1,0,124,124,research,open,-89.6356457099,20.3132876271
Peninsula Stripeless Snake,Coniophanes meridanus,February,5,0,25,25,research,open,-89.6592137113,21.0706099383
,Geophis sartorii sartorii,March,4,0,?,30490,research,open,-89.4939011881,20.3655230291
Variable Coralsnake,Micrurus diastema,Unknown,7,0,27,30434,research,open,-89.7045766677,20.8836929286
,Geophis sartorii sartorii,March,1,0,?,30490,research,open,-89.4468290083,20.3345846342
Neotropical Whip Snake,Masticophis mentovarius,March,3,0,161,30490,research,open,-89.564323225,20.397803603
Yucatecan Worm Snake,Amerotyphlops microstomus,March,5,0,210,210,research,open,-89.6415264532,20.9275994265
Central American Boa,Boa imperator,March,8,0,?,? ,research,open,-89.626242,20.876459
,Conophis lineatus concolor,March,3,0,?,? ,research,open,-90.0187835692,21.1693935392
Central American Boa,Boa imperator,March,7,0,272,30490,research,open,-89.4676189545,20.2338851021
Yucatecan Worm Snake,Amerotyphlops microstomus,March,4,0,19,19,research,open,-89.6414174885,20.9275305315
,Mastigodryas melanolomus melanolomus,March,1,0,64,64,research,open,-89.6033257619,20.970782808
Green Vine Snake,Oxybelis fulgidus,March,7,0,158,158,research,open,-89.6575791389,20.8800124061
Salmon-bellied Racer,Mastigodryas melanolomus,March,5,0,51,51,research,open,-89.6261868998,20.9739338089
Central American Boa,Boa imperator,February,7,0,62,62,research,open,-89.6393347532,20.9603920179
Blotched Hooknose Snake,Ficimia publia,March,5,0,5301,5301,research,open,-89.5501789898,20.9370943717
Yucatan Rat Snake,Pseudelaphe phaescens,February,6,0,2391,2391,research,open,-89.602020853,21.1173349304
,Conophis lineatus concolor,February,4,0,947,947,research,open,-89.6596630636,21.0828626929
Blood Snake,Stenorrhina freminvillei,March,7,0,63,63,research,open,-89.6124508109,21.1057399575
Central American Boa,Boa imperator,February,0,0,59,59,casual,open,-89.4740740307,20.7316753416
Red Coffee Snake,Ninia sebae,February,5,0,3,3,research,open,-89.6811812371,20.6433199975
Green Vine Snake,Oxybelis fulgidus,February,8,0,?,? ,research,open,-88.8682009722,20.910391
Salmon-bellied Racer,Mastigodryas melanolomus,October,7,0,35,35,research,open,-89.7025904774,20.9832279425
Mexican Parrot Snake,Leptophis mexicanus,July,6,0,22,22,research,open,-89.7025888567,20.983232136
,Geophis sartorii sartorii,February,6,0,92,92,research,open,-88.453582,20.591366
Mexican Parrot Snake,Leptophis mexicanus,February,6,0,30,30,research,open,-89.5751232562,20.7416402875
Green Vine Snake,Oxybelis fulgidus,February,10,0,81,81,research,open,-88.4524921328,20.5919085406
Central American Boa,Boa imperator,February,9,0,?,? ,research,open,-89.6565279722,21.083161
Blood Snake,Stenorrhina freminvillei,February,6,0,61,61,research,open,-88.4567657842,20.6156704819
Green Vine Snake,Oxybelis fulgidus,February,4,0,90,90,research,open,-89.0151894093,20.7896143437
Blood Snake,Stenorrhina freminvillei,February,5,0,1230,30472,research,open,-88.553068738,20.4101569495
Mexican Parrot Snake,Leptophis mexicanus,Unknown,1,0,1797,1797,casual,open,-89.5568383858,21.0008140123
Central American Boa,Boa imperator,February,6,0,416,416,research,open,-88.3067781106,21.0373451081
Snail-eating Thirst Snake,Dipsas brevifacies,February,5,0,936,936,research,open,-88.3121076599,20.9962049348
Peten Centipede Snake,Tantilla cuniculator,February,7,0,377,377,research,open,-89.6136308089,21.2922689925
Neotropical Whip Snake,Masticophis mentovarius,February,6,0,?,? ,research,open,-89.549638,21.083178
Central American Boa,Boa imperator,February,5,0,?,? ,research,open,-89.5318869722,21.165689
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,February,3,0,?,? ,research,open,-89.07138,20.206516
Central American Boa,Boa imperator,February,5,0,?,? ,research,open,-89.0721999722,20.2068769722
Central American Boa,Boa imperator,February,7,0,?,? ,research,open,-89.594916,20.832009
Central American Boa,Boa imperator,January,6,0,1355,30490,research,open,-89.5153445074,20.3764328506
Blotched Hooknose Snake,Ficimia publia,February,5,2,16,16,research,open,-89.5622520894,20.8137612549
,Mastigodryas melanolomus melanolomus,February,1,0,369,30472,research,open,-89.4131693435,20.5786400256
