Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Colubrid Snakes,Colubridae,February,3,0,?,? ,needs_id,open,-89.5165328978,21.0522003172
Faded Black-striped Snake,Coniophanes schmidti,August,2,0,572,572,research,open,-89.3001326,20.2023609
Chicken Snake,Spilotes pullatus,February,5,0,5,5,research,open,-89.9151020967,20.5648208769
Speckled Racer,Drymobius margaritiferus,February,3,0,?,? ,research,open,-89.5765762328,21.0462265014
Salmon-bellied Racer,Mastigodryas melanolomus,January,3,0,8,8,research,open,-89.6868526815,20.9894457821
Central American Boa,Boa imperator,November,7,0,31,31,research,open,-89.631363406,21.2766514055
Neotropical Whip Snake,Masticophis mentovarius,February,3,0,?,? ,research,open,-89.6051055556,20.8607555556
,Conophis lineatus concolor,Unknown,2,0,1975,1975,research,open,-89.7444203496,20.8541804841
Central American Boa,Boa imperator,February,4,0,1182,1182,research,open,-89.2443593591,21.3113591707
Speckled Racer,Drymobius margaritiferus,February,5,0,?,? ,research,open,-90.19585,20.8591777778
Variable Coralsnake,Micrurus diastema,February,8,0,30,30,research,open,-89.620347,21.055338
Central American Boa,Boa imperator,February,7,0,15,15,research,open,-89.602963,21.02681
Peninsula Stripeless Snake,Coniophanes meridanus,February,3,0,?,? ,research,open,-90.1484027778,20.4041111111
Chicken Snake,Spilotes pullatus,January,4,0,18,18,research,open,-90.1552566513,20.4018979359
Variable Coralsnake,Micrurus diastema,February,6,0,?,? ,research,open,-89.6330527778,21.15445
Central American Indigo Snake,Drymarchon melanurus,April,4,0,31,31,research,open,-89.1799151667,21.2876169151
Central American Milksnake,Lampropeltis abnorma,January,6,0,?,? ,research,open,-89.5856704711,21.0399341581
Blood Snake,Stenorrhina freminvillei,Unknown,3,0,17,17,research,open,-89.7028950602,20.9823045355
Variable Coralsnake,Micrurus diastema,January,7,0,551,551,research,open,-89.2209486247,21.1257996476
Variable Coralsnake,Micrurus diastema,January,5,0,4,4,research,open,-89.51628,21.0484945
Central American Boa,Boa imperator,January,6,0,?,? ,research,open,-89.34229,21.312166
Yucatecan Cantil,Agkistrodon russeolus,January,7,0,?,? ,research,,-89.3903059722,21.32873
Western Ribbon Snake,Thamnophis proximus,January,5,0,?,? ,research,open,-89.3388049722,21.3114929722
Variable Coralsnake,Micrurus diastema,January,5,0,?,? ,research,open,-89.315466,21.252355
Central American Boa,Boa imperator,Unknown,5,0,47,47,research,open,-89.6554169431,20.8996984513
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,2,0,?,? ,research,open,-89.326282,21.213097
Rainforest Cat-eyed Snake,Leptodeira frenata,January,3,0,?,? ,research,open,-89.3267249722,21.213336
Speckled Racer,Drymobius margaritiferus,March,6,0,122,122,research,open,-89.4256100016,21.3118227915
Salmon-bellied Racer,Mastigodryas melanolomus,January,8,0,87,30415,research,open,-89.5325689884,21.0302440062
Rainforest Cat-eyed Snake,Leptodeira frenata,January,3,0,1256,1256,research,open,-89.32694491,21.2144591976
Rainforest Cat-eyed Snake,Leptodeira frenata,January,5,0,204,204,research,open,-89.3267326802,21.2133064892
Central American Indigo Snake,Drymarchon melanurus,January,6,0,?,? ,research,open,-89.3404310569,21.1027191058
Yucatecan Dwarf Short-tail Snake,Tantillita canula,December,2,0,712,712,research,open,-90.0389436632,21.1624483421
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,5,0,9,9,research,open,-89.7081022337,20.8527599208
Variable Coralsnake,Micrurus diastema,January,6,0,?,? ,research,open,-89.5162542164,21.0246393422
Yucatán White-lipped Snake,Symphimus mayae,January,4,0,?,? ,research,open,-89.5903138889,20.6990916667
Central American Milksnake,Lampropeltis abnorma,January,7,0,5,5,research,open,-89.8984133333,20.98623
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,January,5,0,?,30434,research,obscured,-89.1537944758,20.92899688
Yucatán Hognose Viper,Porthidium yucatanicum,January,6,0,?,? ,research,open,-88.918214,20.594172
Pygmy Snail Sucker,Geophis sanniolus,January,3,0,?,? ,research,open,-88.5428009722,20.825555
Central American Milksnake,Lampropeltis abnorma,January,7,0,?,? ,research,open,-88.4360369722,20.890329
Yucatán Hognose Viper,Porthidium yucatanicum,January,7,0,?,? ,research,open,-88.402394,20.934573
Variable Coralsnake,Micrurus diastema,January,6,0,?,? ,research,open,-88.397063,20.939323
Terrestrial Snail Sucker,Geophis sartorii,January,4,0,?,? ,research,open,-88.381787,20.949145
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,4,0,?,? ,research,open,-88.381787,20.949145
Terrestrial Snail Sucker,Geophis sartorii,January,3,0,?,? ,research,open,-88.453124,20.591825
Central American Milksnake,Lampropeltis abnorma,January,5,0,?,? ,research,open,-88.453108,20.5918349722
Central American Boa,Boa imperator,Unknown,5,0,87,87,research,open,-90.1811557263,20.4045881587
Rainforest Cat-eyed Snake,Leptodeira frenata,December,5,0,6747,6747,research,open,-89.6024648593,21.0447449157
Red Coffee Snake,Ninia sebae,January,4,0,?,? ,research,open,-89.5921388889,20.6984333333
Green Vine Snake,Oxybelis fulgidus,January,4,0,4,4,research,open,-89.6613466667,21.1430195
Rainforest Cat-eyed Snake,Leptodeira frenata,December,6,0,23,23,research,open,-89.6810410917,20.643006248
Red Coffee Snake,Ninia sebae,January,4,0,2413358,2413358,research,open,-89.3820510801,20.007747652
Red Coffee Snake,Ninia sebae,January,4,0,15,15,research,open,-90.1474584639,20.4063419161
,Conophis lineatus concolor,January,4,0,5,5,research,open,-90.4055533333,20.8363383333
Red Coffee Snake,Ninia sebae,September,5,0,?,? ,research,open,-89.6515909722,21.0631899722
Variable Coralsnake,Micrurus diastema,December,7,0,?,? ,research,open,-89.5603179931,21.0511169433
Blood Snake,Stenorrhina freminvillei,December,5,0,?,? ,research,open,-89.5755767822,21.0575103758
Variable Coralsnake,Micrurus diastema,January,8,0,?,? ,research,open,-89.5709075925,21.0663814544
Blood Snake,Stenorrhina freminvillei,January,3,0,16,16,research,open,-88.5715804351,20.6826450677
Faded Black-striped Snake,Coniophanes schmidti,January,4,0,38,38,research,open,-89.6671180551,20.9354798377
Mexican Parrot Snake,Leptophis mexicanus,January,3,0,?,? ,research,open,-89.8195305556,21.1919416667
Central American Indigo Snake,Drymarchon melanurus,January,3,0,?,? ,research,open,-89.69905,21.1300305556
Blotched Hooknose Snake,Ficimia publia,January,3,0,4548,30453,research,open,-88.3764115167,20.7649797186
Blood Snake,Stenorrhina freminvillei,December,3,0,2854,2854,research,open,-89.2847789079,20.7386763728
Terrestrial Snail Sucker,Geophis sartorii,December,2,0,7,7,research,open,-89.5709183067,20.8034971823
Terrestrial Snail Sucker,Geophis sartorii,December,2,0,9,9,research,open,-89.5774333924,20.7999081962
Red Coffee Snake,Ninia sebae,December,3,0,?,? ,research,open,-89.8675583333,21.0343916667
Salmon-bellied Racer,Mastigodryas melanolomus,December,1,0,8,8,research,open,-89.5892866667,21.0461971667
Central American Boa,Boa imperator,December,5,0,5,5,research,open,-89.6611416667,21.2586083333
Colubrid Snakes,Colubridae,November,0,0,201,201,needs_id,,-88.6633992,20.7051926
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,November,7,0,252,30527,research,obscured,-90.3027484809,19.9448827418
Central American Boa,Boa imperator,Unknown,6,0,89,89,research,open,-89.6704443544,21.0356696776
Salmon-bellied Racer,Mastigodryas melanolomus,December,2,0,23,23,research,open,-89.6188120851,20.9723551585
Central American Boa,Boa imperator,December,5,0,104,104,research,open,-89.5271778479,21.0766403426
Central American Boa,Boa imperator,December,6,0,?,? ,research,open,-89.8437833333,21.2477111111
,Epictia vindumi,May,1,0,?,? ,research,,-89.2614212036,21.3203372953
Salmon-bellied Racer,Mastigodryas melanolomus,August,1,0,?,? ,research,open,-89.2654113769,21.2837982175
Speckled Racer,Drymobius margaritiferus,August,4,0,?,? ,research,open,-89.2626113889,21.3184795378
Mexican Parrot Snake,Leptophis mexicanus,August,1,0,?,? ,research,open,-89.8153076169,21.1822319031
Variable Coralsnake,Micrurus diastema,July,4,0,498271,498271,research,open,-89.80385,21.155414
Mexican Parrot Snake,Leptophis mexicanus,November,3,0,213,213,research,open,-89.7092518955,20.8444768983
Central American Indigo Snake,Drymarchon melanurus,December,3,0,673,673,research,open,-89.7091436014,20.85837536
Colubrid Snakes,Colubridae,Unknown,1,0,883,883,casual,,-89.5817095041,21.0244916271
Yucatan Rat Snake,Pseudelaphe phaescens,December,4,0,20,20,research,open,-89.67167,21.1114500019
Blood Snake,Stenorrhina freminvillei,December,4,0,?,? ,research,open,-89.5105146244,21.0743875198
Central American Boa,Boa imperator,November,5,0,2316,2316,research,open,-90.2015014713,20.7918915795
Snakes,Serpentes,December,0,0,75,75,needs_id,,-89.509669058,21.0969092062
Green Vine Snake,Oxybelis fulgidus,November,4,0,?,? ,research,open,-89.90385437,21.0357685089
Green Vine Snake,Oxybelis fulgidus,November,3,0,35,35,research,open,-89.7351083333,20.9885216667
Chicken Snake,Spilotes pullatus,Unknown,3,0,2600,2600,research,open,-89.2749814689,21.1764719673
Central American Indigo Snake,Drymarchon melanurus,November,7,0,1096,1096,research,open,-89.4407492349,20.8327906467
Variable Coralsnake,Micrurus diastema,November,9,0,11,11,research,open,-89.5418083333,21.0278805
Yucatan Rat Snake,Pseudelaphe phaescens,November,5,0,?,? ,research,open,-89.6793444444,21.0277861111
Yucatecan Cantil,Agkistrodon russeolus,November,7,0,?,? ,research,,-90.1785430906,20.4051094053
Central American Boa,Boa imperator,November,5,0,31,31,research,open,-89.533222435,21.135700276
Salmon-bellied Racer,Mastigodryas melanolomus,November,3,0,288,288,research,open,-89.5775572877,21.0187138848
Central American Boa,Boa imperator,November,4,0,37,37,research,open,-89.5640847087,21.053399996
Mexican Parrot Snake,Leptophis mexicanus,November,3,0,502,502,research,open,-88.5685205358,20.6825304425
Variable Coralsnake,Micrurus diastema,November,3,0,3,3,research,open,-89.4935916667,21.0580221667
Colubrid Snakes,Colubridae,Unknown,0,0,423,423,casual,,-89.9512531981,21.1867301259
Rainforest Cat-eyed Snake,Leptodeira frenata,November,4,0,12,12,research,open,-89.5945334807,20.6970127527
Blood Snake,Stenorrhina freminvillei,November,2,3,34,34,research,open,-89.5604633333,20.982986669
Speckled Racer,Drymobius margaritiferus,November,5,0,7,7,research,open,-89.5956117287,21.0637667887
Variable Coralsnake,Micrurus diastema,November,5,0,?,? ,research,open,-89.5846557617,21.0369968414
Speckled Racer,Drymobius margaritiferus,November,4,0,355,355,research,open,-90.207201317,20.0814699182
Central American Boa,Boa imperator,May,4,0,81,81,research,open,-89.6223074198,20.7404071699
Variable Coralsnake,Micrurus diastema,November,4,0,8,8,research,open,-89.7378640249,20.9946545626
Blood Snake,Stenorrhina freminvillei,September,2,0,?,? ,research,open,-88.6092635583,20.6617027694
Faded Black-striped Snake,Coniophanes schmidti,November,2,0,126,126,research,open,-89.6247937087,21.0941627321
Terrestrial Snail Sucker,Geophis sartorii,November,4,0,?,? ,research,open,-89.5662994383,21.0523395536
Blood Snake,Stenorrhina freminvillei,November,3,0,?,? ,research,open,-89.5643310544,21.052352905
,Geophis sartorii sartorii,November,4,0,?,? ,research,open,-89.5830078125,21.0457057953
Blood Snake,Stenorrhina freminvillei,November,2,0,?,? ,research,open,-89.5103277778,21.0744694444
Speckled Racer,Drymobius margaritiferus,November,5,0,4,4,research,open,-89.49948,21.0780333333
Central American Indigo Snake,Drymarchon melanurus,November,3,0,62,62,research,open,-89.5097012445,21.09946823
Mexican Parrot Snake,Leptophis mexicanus,August,2,0,24,24,research,open,-89.5004925504,21.0793142153
,Conophis lineatus concolor,August,6,0,537,537,research,open,-89.4622221217,20.9225111358
Central American Milksnake,Lampropeltis abnorma,April,6,0,83,83,research,open,-89.6289207414,20.7342310811
,Oxybelis potosiensis,September,3,0,26,26,research,,-89.594518058,20.6973235679
Central American Milksnake,Lampropeltis abnorma,November,6,0,5,5,research,open,-89.6812590212,20.6431518279
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,November,11,1,263,30490,needs_id,obscured,-89.4752072745,20.2985831965
Salmon-bellied Racer,Mastigodryas melanolomus,July,3,0,29,29,research,open,-89.5053014159,21.0773398651
Rainforest Cat-eyed Snake,Leptodeira frenata,April,4,0,286,286,research,open,-89.6289150417,20.7343624632
Yucatecan Dwarf Short-tail Snake,Tantillita canula,April,4,0,1640,1640,research,open,-89.5952995867,20.6929209732
Terrestrial Snail Sucker,Geophis sartorii,November,5,3,3976,30415,research,open,-89.5306103038,21.1209372595
Green Vine Snake,Oxybelis fulgidus,September,5,0,?,? ,research,open,-89.5108138889,21.0740416667
Blood Snake,Stenorrhina freminvillei,November,3,0,1640,1640,research,open,-89.5952995867,20.6929209732
Mexican Parrot Snake,Leptophis mexicanus,November,3,0,3582,3582,research,open,-89.7130643,20.4849154
Rainforest Cat-eyed Snake,Leptodeira frenata,November,3,0,654,654,research,open,-89.5603752136,20.8174787139
Peten Centipede Snake,Tantilla cuniculator,November,1,0,1162,1162,research,open,-90.0394291431,21.1625030585
Terrestrial Snail Sucker,Geophis sartorii,November,1,0,199,199,research,open,-89.7094594315,20.8439802659
Central American Boa,Boa imperator,October,5,0,566,566,research,open,-89.708071053,20.8457753414
Red Coffee Snake,Ninia sebae,November,3,0,148,148,research,open,-89.7092049569,20.8430853835
Mexican Parrot Snake,Leptophis mexicanus,November,2,0,31,31,research,open,-89.6522625065,20.1765028961
Blood Snake,Stenorrhina freminvillei,November,3,0,4,4,research,open,-89.6774533333,20.9796916667
Central American Boa,Boa imperator,October,6,0,15,15,research,open,-89.54045,21.1793583333
Red Coffee Snake,Ninia sebae,November,5,0,163,163,research,open,-89.5934746908,21.0510525133
Yucatán Green Ratsnake,Senticolis triaspis triaspis,September,4,0,1325,1325,research,open,-89.6455112714,21.0333904942
Central American Boa,Boa imperator,July,3,0,15,15,research,open,-90.0017880133,20.4225876567
Mexican Parrot Snake,Leptophis mexicanus,June,1,0,12,12,research,open,-90.059782299,20.3796362517
Blood Snake,Stenorrhina freminvillei,October,3,0,?,? ,research,open,-89.5576324461,21.0540275572
Red Coffee Snake,Ninia sebae,October,6,0,?,? ,research,open,-89.5793457031,21.0455970764
Mexican Parrot Snake,Leptophis mexicanus,October,5,0,3703,3703,research,open,-89.8214954468,21.1967901616
Yucatecan Dwarf Short-tail Snake,Tantillita canula,October,1,0,64,64,research,open,-89.6284969524,21.0391284789
Yucatán Hognose Viper,Porthidium yucatanicum,October,5,0,?,? ,research,open,-90.2865896997,20.0034145
Rainforest Cat-eyed Snake,Leptodeira frenata,October,3,0,654,654,research,open,-89.5603752136,20.8174787139
Two-spotted Snake,Coniophanes bipunctatus,October,3,0,27,27,research,open,-89.3380053341,21.3112660905
Neotropical Whip Snake,Masticophis mentovarius,October,2,0,45,45,research,open,-89.3266522139,21.2889707391
Red Coffee Snake,Ninia sebae,October,3,0,40,40,research,open,-89.7347509856,20.9876765922
Brahminy Blindsnake,Indotyphlops braminus,October,2,0,?,? ,research,,-89.6548309325,21.0021743772
Colubrid Snakes,Colubridae,October,1,0,2849,2849,needs_id,,-89.2847787,20.7386777
,Micrurus diastema apiatus,October,3,0,2256,2256,research,open,-89.5550539,21.0411724
,Oxybelis potosiensis,July,2,0,?,? ,research,,-90.029098,20.423891
Terrestrial Snail Sucker,Geophis sartorii,October,3,0,184,184,research,open,-89.2729678005,21.1919138001
Red Coffee Snake,Ninia sebae,October,7,0,372,372,research,open,-89.5413448235,21.0314138649
Peninsula Stripeless Snake,Coniophanes meridanus,October,1,0,1655,30434,research,open,-89.7934721877,20.8383308879
Variable Coralsnake,Micrurus diastema,October,5,1,21,21,research,open,-89.5186916667,21.1257445
Central American Indigo Snake,Drymarchon melanurus,October,7,0,439,439,research,open,-89.7070532672,21.066404298
,Conophis lineatus concolor,July,2,0,1270,1270,research,open,-89.3782602001,21.1756354027
Mexican Parrot Snake,Leptophis mexicanus,October,2,0,1224,1224,research,open,-89.70705349,21.0664293167
Salmon-bellied Racer,Mastigodryas melanolomus,October,4,0,205,205,research,open,-89.5908390731,20.7916564326
Yucatán Hognose Viper,Porthidium yucatanicum,July,5,0,2257,2257,research,open,-89.5513970064,20.0897285656
Central American Boa,Boa imperator,August,4,0,43,43,research,open,-89.5514395175,20.0892280775
Salmon-bellied Racer,Mastigodryas melanolomus,October,3,0,22,22,research,open,-89.2938056402,21.150058428
Terrestrial Snail Sucker,Geophis sartorii,September,3,0,52,52,research,open,-89.2947062533,21.1534514599
Yucatecan Cantil,Agkistrodon russeolus,October,6,0,15,30396,research,,-89.3770557892,21.2789257242
Terrestrial Snail Sucker,Geophis sartorii,October,2,0,61,30415,research,open,-89.2412475949,21.0331489215
Salmon-bellied Racer,Mastigodryas melanolomus,October,2,0,61,30415,research,open,-89.3111368499,21.1170082143
Salmon-bellied Racer,Mastigodryas melanolomus,July,2,0,?,? ,research,open,-89.0293197631,21.3126125333
Rainforest Cat-eyed Snake,Leptodeira frenata,July,4,0,?,? ,research,open,-89.1787796019,21.2294197081
Green Rat Snake,Senticolis triaspis,October,4,0,124,124,research,open,-89.7332241386,20.8778593674
Blood Snake,Stenorrhina freminvillei,October,1,0,4,4,research,open,-89.54162,21.0293611667
Central American Boa,Boa imperator,Unknown,5,0,248,248,research,open,-89.6245286241,20.8670564297
Terrestrial Snail Sucker,Geophis sartorii,Unknown,2,0,254,254,research,open,-89.0201816708,20.0164710173
Central American Indigo Snake,Drymarchon melanurus,October,5,0,16,16,research,open,-89.6122366667,20.8409783333
Peninsula Stripeless Snake,Coniophanes meridanus,September,5,0,40,40,research,open,-89.62375,20.9834633333
Central American Boa,Boa imperator,October,6,0,?,? ,research,open,-90.0711593628,20.3799228667
,Oxybelis potosiensis,October,4,0,240,30453,research,,-88.3822935953,20.7322896778
Colubrid Snakes,Colubridae,Unknown,0,0,997,997,casual,,-89.3337795138,20.5326678878
Mexican Parrot Snake,Leptophis mexicanus,October,3,0,25,25,research,open,-89.5125793935,21.0701722868
Terrestrial Snail Sucker,Geophis sartorii,October,3,0,20,20,research,open,-89.7758416667,21.1358583419
Yellow-red Rat Snake,Pseudelaphe flavirufa,July,4,0,?,? ,research,open,-89.4891281128,21.3152179717
Yellow-red Rat Snake,Pseudelaphe flavirufa,July,3,0,?,? ,research,open,-89.4871597289,21.3153553008
Peninsula Stripeless Snake,Coniophanes meridanus,October,4,0,1217,1217,research,open,-89.3163227,20.7419734
Colubrid Snakes,Colubridae,Unknown,0,0,88,88,casual,,-89.6152716667,21.1108805
Central American Boa,Boa imperator,October,4,0,1,1,research,open,-89.6160899167,21.11222885
Rainforest Cat-eyed Snake,Leptodeira frenata,October,3,0,1,1,research,open,-89.61619515,21.1119938667
Central American Indigo Snake,Drymarchon melanurus,October,5,0,31,31,research,open,-90.0077499916,20.067589771
Yucatecan Cantil,Agkistrodon russeolus,October,6,0,61,61,research,,-90.1610562789,20.0067965873
Snail-eating Thirst Snake,Dipsas brevifacies,October,3,0,15,15,research,open,-90.04645103,20.048071827
Central American Boa,Boa imperator,October,5,0,204,204,research,open,-89.6663747728,21.0449156033
Green Rat Snake,Senticolis triaspis,October,5,0,?,? ,research,open,-89.633867,21.01053
Variable Coralsnake,Micrurus diastema,September,5,0,916,916,research,open,-89.6255773678,21.0599202744
Central American Boa,Boa imperator,September,4,0,314,314,research,open,-90.1076199487,19.9791394527
Green Vine Snake,Oxybelis fulgidus,September,5,0,?,? ,research,open,-90.216616,20.0269779722
,Conophis lineatus concolor,September,3,0,?,? ,research,open,-90.024428,20.039003
Central American Milksnake,Lampropeltis abnorma,September,4,0,486,486,research,open,-90.106086731,20.1294478721
Central American Indigo Snake,Drymarchon melanurus,September,5,0,?,? ,research,open,-90.0030309722,20.0467089722
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,October,6,0,?,30508,research,obscured,-90.0958219577,20.1149828992
Snail-eating Thirst Snake,Dipsas brevifacies,October,5,0,?,? ,research,open,-90.007631,20.0546609722
Green Rat Snake,Senticolis triaspis,October,4,0,?,? ,research,open,-90.052002,20.1444149722
Central American Boa,Boa imperator,Unknown,5,0,488,488,research,open,-89.5952439308,20.8766191554
Central American Indigo Snake,Drymarchon melanurus,October,4,0,4,4,research,open,-89.1865533333,19.9321383333
Red Coffee Snake,Ninia sebae,October,5,0,254,254,research,open,-89.0201816708,20.0164710173
Central American Boa,Boa imperator,October,4,0,194,194,research,open,-89.2166407406,20.6543428601
Green Rat Snake,Senticolis triaspis,October,5,0,14284,14284,research,open,-89.5925858617,20.9673424592
Neotropical Whip Snake,Masticophis mentovarius,October,3,2,721,721,research,open,-89.6331407724,21.2802010327
Mexican Parrot Snake,Leptophis mexicanus,October,1,0,1257,1257,research,open,-89.6258426125,21.2718045674
Red Coffee Snake,Ninia sebae,October,5,0,113,113,research,open,-89.5636015323,20.9958220509
Neotropical Whip Snake,Masticophis mentovarius,October,4,0,1298,1298,research,open,-89.7259067371,20.8719435989
Pygmy Snail Sucker,Geophis sanniolus,September,4,0,1017,1017,research,open,-89.6229990858,21.0943305076
Pygmy Snail Sucker,Geophis sanniolus,October,2,0,32,32,research,open,-89.5669621049,21.048966635
,Conophis lineatus concolor,September,4,0,3245,3245,research,open,-90.2546291426,20.0284842955
Yucatan Rat Snake,Pseudelaphe phaescens,July,4,0,5,5,research,open,-89.7986616667,21.1432195
Peninsula Stripeless Snake,Coniophanes meridanus,September,3,0,4231,4231,research,open,-89.5689808154,20.9954225431
Central American Indigo Snake,Drymarchon melanurus,August,4,0,30,30,research,open,-90.3546,20.877475
Faded Black-striped Snake,Coniophanes schmidti,June,4,0,82,82,research,open,-89.6217280627,20.7400635205
Green Rat Snake,Senticolis triaspis,September,4,0,31,31,research,open,-89.6495602169,20.9528037597
Variable Coralsnake,Micrurus diastema,September,4,0,?,? ,research,open,-89.177891,21.351623
Blood Snake,Stenorrhina freminvillei,September,4,0,?,? ,research,open,-89.324937,20.7134329722
Peninsula Stripeless Snake,Coniophanes meridanus,September,4,0,8,8,research,open,-89.60552636,20.94611406
Blood Snake,Stenorrhina freminvillei,September,4,0,3,3,research,open,-89.493645,21.0599333333
Small-spotted Cat-eyed Snake,Leptodeira polysticta,September,2,0,583,30453,research,,-88.3229177985,20.6703071101
Central American Indigo Snake,Drymarchon melanurus,September,8,0,82,82,research,open,-89.5623882115,20.8137346162
Central American Boa,Boa imperator,September,8,0,103,103,research,open,-89.5679018606,21.1297933957
Central American Boa,Boa imperator,September,7,0,56,56,research,open,-89.5516448959,21.1310389148
Variable Coralsnake,Micrurus diastema,Unknown,0,0,275,275,casual,open,-89.1913327575,21.3522259972
,Conophis lineatus concolor,September,4,0,23848,23848,research,open,-90.0899200514,20.8838196976
Green Vine Snake,Oxybelis fulgidus,September,7,0,2954,2954,research,open,-89.5366457105,20.3978296741
,Oxybelis potosiensis,September,7,0,307,307,research,,-89.739180319,20.9053681999
Central American Boa,Boa imperator,September,9,0,9,9,research,open,-89.6231731027,20.8904291318
Central American Boa,Boa imperator,Unknown,7,0,117,117,research,open,-89.6714240313,21.035769503
Central American Indigo Snake,Drymarchon melanurus,September,4,0,4,4,research,open,-89.6270366667,21.27127
Central American Boa,Boa imperator,September,6,0,738,738,research,open,-89.7261397541,20.8720162787
Rainforest Cat-eyed Snake,Leptodeira frenata,January,4,0,50,50,research,open,-89.3264806763,21.2130578493
Neotropical Whip Snake,Masticophis mentovarius,September,5,0,3,3,research,open,-89.579316,21.25914
Central American Boa,Boa imperator,September,6,0,213,213,research,open,-89.7099998966,20.8430556166
Central American Indigo Snake,Drymarchon melanurus,September,3,0,?,? ,research,open,-89.5263137817,21.0757694242
Snakes,Serpentes,Unknown,0,0,557,557,casual,,-89.5982084423,21.0987365933
,Oxybelis potosiensis,September,6,0,74,74,research,,-89.2885909975,20.6295071922
,Conophis lineatus concolor,September,5,0,278,278,research,open,-89.7081501782,20.8453297862
Yucatán Green Ratsnake,Senticolis triaspis triaspis,September,5,0,213,213,research,open,-89.7099998966,20.8430556166
Green Vine Snake,Oxybelis fulgidus,August,6,0,?,? ,research,open,-89.7081907466,20.8451765675
Central American Milksnake,Lampropeltis abnorma,September,6,0,22,22,research,open,-89.6254563332,20.8695921385
Salmon-bellied Racer,Mastigodryas melanolomus,September,5,0,45,45,research,open,-90.1478745416,20.4036137007
Variable Coralsnake,Micrurus diastema,September,7,0,99,99,research,open,-89.6226614714,20.7406856006
Green Vine Snake,Oxybelis fulgidus,May,4,0,?,? ,research,open,-89.5023117064,21.0775547025
Rainforest Cat-eyed Snake,Leptodeira frenata,August,6,0,654,654,research,open,-89.5603752136,20.8174787139
Central American Boa,Boa imperator,August,5,0,124,124,research,open,-89.623160027,20.8660304172
Central American Boa,Boa imperator,August,8,0,32,32,research,open,-89.62186452,20.9481706684
Speckled Racer,Drymobius margaritiferus,August,7,0,123,123,research,open,-89.6616037935,21.0811427574
Central American Boa,Boa imperator,August,6,0,?,? ,research,open,-89.581489,21.001355
Central American Boa,Boa imperator,August,5,0,3,3,research,open,-89.5406583333,21.0340528333
,Conophis lineatus concolor,August,4,0,162,162,research,open,-89.6614790708,21.083977657
Central American Boa,Boa imperator,August,6,0,316,316,research,open,-89.6749360487,20.9221613251
Variable Coralsnake,Micrurus diastema,August,8,0,?,? ,research,open,-89.39403,21.1228119722
Yucatecan Cantil,Agkistrodon russeolus,August,7,0,?,? ,research,,-89.3227859722,21.28038
Yucatecan Cantil,Agkistrodon russeolus,August,6,0,97,97,research,,-89.3473253399,21.3344296913
Black-striped Snake,Coniophanes imperialis,August,5,0,?,? ,research,open,-89.3344198912,21.3090130936
Speckled Racer,Drymobius margaritiferus,August,6,0,?,? ,research,open,-89.340726,21.174868
Mexican Parrot Snake,Leptophis mexicanus,August,7,0,272,272,research,open,-89.3357083574,21.1804542669
Central American Boa,Boa imperator,August,6,0,449,449,research,open,-89.4290968403,21.1075985702
Faded Black-striped Snake,Coniophanes schmidti,August,5,0,924,924,research,open,-89.9713747948,20.9163816581
Red Coffee Snake,Ninia sebae,August,7,0,515,515,research,open,-90.0894892216,20.8693349355
Pygmy Snail Sucker,Geophis sanniolus,July,5,0,17,17,research,open,-89.5209557936,21.110257498
Central American Indigo Snake,Drymarchon melanurus,August,8,0,3,3,research,open,-89.5260052198,21.1329315836
Yucatecan Cantil,Agkistrodon russeolus,August,3,0,508,30396,research,,-89.2329006219,21.3498420457
Kingsnakes and Milk Snakes,Lampropeltis,Unknown,0,0,24175,24175,casual,,-90.0211297721,21.1724748662
Mexican Parrot Snake,Leptophis mexicanus,August,4,0,4,4,research,open,-89.6573105827,20.9477269827
Salmon-bellied Racer,Mastigodryas melanolomus,August,1,0,?,? ,research,open,-90.0457561389,21.1630260528
Central American Boa,Boa imperator,August,7,0,3,3,research,open,-89.610676,21.062505
Red Coffee Snake,Ninia sebae,August,4,0,522,522,research,open,-89.6208004945,21.094040052
Speckled Racer,Drymobius margaritiferus,August,3,0,977,977,research,open,-89.635095659,21.2730874229
Faded Black-striped Snake,Coniophanes schmidti,August,3,0,43115,43115,research,open,-89.6850446588,21.0906242337
Brahminy Blindsnake,Indotyphlops braminus,August,2,0,11,11,research,,-90.3925936751,20.855337489
Salmon-bellied Racer,Mastigodryas melanolomus,August,5,0,10,10,research,open,-89.3214116667,21.2155333333
Western Ribbon Snake,Thamnophis proximus,August,3,0,11,11,research,open,-89.3440333333,21.3124616667
Western Ribbon Snake,Thamnophis proximus,Unknown,6,0,95,95,research,open,-89.3270575628,21.3346970204
Central American Boa,Boa imperator,August,6,0,?,? ,research,open,-89.655466,21.0799669722
Mexican Parrot Snake,Leptophis mexicanus,April,4,0,?,? ,research,open,-89.6754779722,21.280732
